dates_date,dates_month,dates_year,volume,vwap,transactions
2023-01-03,1,2023,76706040,85,575321
2023-01-04,1,2023,68885123,85,575729
2023-01-05,1,2023,67930825,83,532666
2023-01-06,1,2023,83303361,84,657438
2023-01-09,1,2023,65266056,88,590215
2023-01-10,1,2023,67685201,89,523587
2023-01-11,1,2023,103126183,93,741563
2023-01-12,1,2023,85254781,95,630928
2023-01-13,1,2023,85549432,96,619727
2023-01-17,1,2023,72755001,96,600669
2023-01-18,1,2023,79532870,96,581769
2023-01-19,1,2023,68915663,93,502112
2023-01-20,1,2023,67141539,95,467435
2023-01-23,1,2023,76487303,97,589238
2023-01-24,1,2023,66929452,97,480419
2023-01-25,1,2023,94261570,94,696993
2023-01-26,1,2023,68523557,98,531132
2023-01-27,1,2023,87775614,101,645609
2023-01-30,1,2023,70691860,100,566993
2023-01-31,1,2023,66527253,102,481184
2023-02-01,2,2023,80450121,103,642368
2023-02-02,2,2023,157942363,111,1209503
2023-02-03,2,2023,144343628,105,1134293
2023-02-06,2,2023,81945199,102,625158
2023-02-07,2,2023,119316301,100,854814
2023-02-08,2,2023,74746154,100,548954
2023-02-09,2,2023,64568489,99,560764
2023-02-10,2,2023,52733633,97,487987
2023-02-13,2,2023,52775864,98,432119
2023-02-14,2,2023,56202698,99,458644
2023-02-15,2,2023,48053879,99,412969
2023-02-16,2,2023,56309473,99,441738
2023-02-17,2,2023,60029405,96,485368
2023-02-21,2,2023,56580360,94,487312
2023-02-22,2,2023,59484094,95,443044
2023-02-23,2,2023,48466994,95,433360
2023-02-24,2,2023,57053812,93,486809
2023-02-27,2,2023,47470321,93,409004
2023-02-28,2,2023,43959290,93,369518
2023-03-01,3,2023,52299524,92,449825
2023-03-02,3,2023,55563270,91,456728
2023-03-03,3,2023,55741309,94,433448
2023-03-06,3,2023,52112355,94,424111
2023-03-07,3,2023,49090268,93,380920
2023-03-08,3,2023,44899128,93,351441
2023-03-09,3,2023,56218705,94,452985
2023-03-10,3,2023,69827490,91,594321
2023-03-13,3,2023,72397053,91,607384
2023-03-14,3,2023,60912674,94,464479
2023-03-15,3,2023,70536792,95,560234
2023-03-16,3,2023,84238058,99,693378
2023-03-17,3,2023,87280992,98,510343
2023-03-20,3,2023,62326911,97,509445
2023-03-21,3,2023,58237275,99,465171
2023-03-22,3,2023,57367105,100,483998
2023-03-23,3,2023,57472010,99,469445
2023-03-24,3,2023,56138401,97,419956
2023-03-27,3,2023,46704796,98,382065
2023-03-28,3,2023,38720050,97,313968
2023-03-29,3,2023,49783279,99,375796
2023-03-30,3,2023,53633398,101,413471
2023-03-31,3,2023,56700317,102,422311
2023-04-03,4,2023,41135733,102,359080
2023-04-04,4,2023,48662496,103,378108
2023-04-05,4,2023,45175393,101,398442
2023-04-06,4,2023,43808020,101,350990
2023-04-10,4,2023,37261185,101,336893
2023-04-11,4,2023,60028547,99,508395
2023-04-12,4,2023,56735007,98,460026
2023-04-13,4,2023,67925138,101,516926
2023-04-14,4,2023,51175522,102,422097
2023-04-17,4,2023,39919457,102,347495
2023-04-18,4,2023,39790518,102,365986
2023-04-19,4,2023,58398890,103,452914
2023-04-20,4,2023,57696866,104,432539
2023-04-21,4,2023,86734185,106,700624
2023-04-24,4,2023,69572310,106,531663
2023-04-25,4,2023,65026818,103,494317
2023-04-26,4,2023,73783977,105,578920
2023-04-27,4,2023,149900667,110,1113448
2023-04-28,4,2023,130715946,105,1015958
2023-05-01,5,2023,74659196,102,583134
