dates_date,open_price,close_price,highest_price,lowest_price,diff,percen_inc,bip_growth
2023-01-03,31,31,31,31,0,.00,1
2023-01-04,31,32,32,31,0,.00,2
2023-01-05,32,32,32,31,1,3.23,3
2023-01-06,32,32,33,32,1,3.23,4
2023-01-09,33,33,33,32,2,6.45,5
2023-01-10,33,33,33,33,2,6.45,6
2023-01-11,33,34,34,33,2,6.45,7
2023-01-12,33,34,34,33,2,6.45,8
2023-01-13,33,34,34,33,2,6.45,9
2023-01-17,34,34,34,34,3,9.68,10
2023-01-18,35,34,35,34,4,12.90,11
2023-01-19,34,34,34,34,3,9.68,12
2023-01-20,34,35,35,34,3,9.68,13
2023-01-23,35,36,36,35,4,12.90,14
2023-01-24,35,35,35,35,4,12.90,15
2023-01-25,35,35,36,35,4,12.90,16
2023-01-26,36,35,36,35,5,16.13,17
2023-01-27,35,35,35,35,4,12.90,18
2023-01-30,35,34,35,34,4,12.90,19
2023-01-31,34,35,35,34,3,9.68,20
2023-02-01,35,34,35,34,4,12.90,21
2023-02-02,35,34,35,34,4,12.90,22
2023-02-03,34,34,35,34,3,9.68,23
2023-02-06,34,34,34,34,3,9.68,24
2023-02-07,34,34,34,34,3,9.68,25
2023-02-08,34,33,34,33,3,9.68,26
2023-02-09,33,33,34,33,2,6.45,27
2023-02-10,33,34,34,33,2,6.45,28
2023-02-13,34,34,34,34,3,9.68,29
2023-02-14,34,34,35,34,3,9.68,30
2023-02-15,34,34,35,34,3,9.68,31
2023-02-16,34,34,34,34,3,9.68,32
2023-02-17,34,34,35,34,3,9.68,33
2023-02-21,34,34,34,34,3,9.68,34
2023-02-22,34,34,34,34,3,9.68,35
2023-02-23,34,34,34,34,3,9.68,36
2023-02-24,34,34,34,33,3,9.68,37
2023-02-27,34,33,34,33,3,9.68,38
2023-02-28,33,33,33,32,2,6.45,39
2023-03-01,32,33,33,32,1,3.23,40
2023-03-02,33,33,33,32,2,6.45,41
2023-03-03,33,33,33,33,2,6.45,42
2023-03-06,33,34,34,33,2,6.45,43
2023-03-07,34,33,34,32,3,9.68,44
2023-03-08,32,33,33,32,1,3.23,45
2023-03-09,33,32,33,32,2,6.45,46
2023-03-10,32,32,32,31,1,3.23,47
2023-03-13,31,32,32,31,0,.00,48
2023-03-14,32,32,32,32,1,3.23,49
2023-03-15,31,31,31,31,0,.00,50
2023-03-16,31,32,32,31,0,.00,51
2023-03-17,32,32,32,31,1,3.23,52
2023-03-20,32,32,32,31,1,3.23,53
2023-03-21,32,32,32,32,1,3.23,54
2023-03-22,32,31,32,31,1,3.23,55
2023-03-23,31,31,32,31,0,.00,56
2023-03-24,31,31,31,31,0,.00,57
2023-03-27,31,32,32,31,0,.00,58
2023-03-28,31,32,32,31,0,.00,59
2023-03-29,32,32,33,32,1,3.23,60
2023-03-30,33,33,33,32,2,6.45,61
2023-03-31,33,33,33,33,2,6.45,62
2023-04-03,33,33,34,33,2,6.45,63
2023-04-04,34,33,34,33,3,9.68,64
2023-04-05,33,33,33,33,2,6.45,65
2023-04-06,33,33,34,33,2,6.45,66
2023-04-10,33,33,34,33,2,6.45,67
2023-04-11,34,34,34,34,3,9.68,68
2023-04-12,34,34,34,33,3,9.68,69
2023-04-13,34,35,36,34,3,9.68,70
2023-04-14,35,35,36,35,4,12.90,71
2023-04-17,35,35,35,35,4,12.90,72
2023-04-18,35,35,36,35,4,12.90,73
2023-04-19,35,35,35,35,4,12.90,74
2023-04-20,35,35,35,35,4,12.90,75
2023-04-21,35,35,35,35,4,12.90,76
2023-04-24,35,35,35,35,4,12.90,77
2023-04-25,35,34,35,34,4,12.90,78
2023-04-26,34,34,34,34,3,9.68,79
2023-04-27,34,34,35,34,3,9.68,80
2023-04-28,34,34,35,34,3,9.68,81
2023-05-01,34,34,35,34,3,9.68,82
2023-05-02,34,34,34,33,3,9.68,83
2023-05-03,34,35,35,34,3,9.68,84
2023-05-04,35,35,35,34,4,12.90,85
2023-05-05,35,35,35,35,4,12.90,86
2023-05-08,35,35,36,35,4,12.90,87
2023-05-09,35,35,35,35,4,12.90,88
2023-05-10,35,35,36,35,4,12.90,89
2023-05-11,35,35,35,34,4,12.90,90
2023-05-12,35,35,35,35,4,12.90,91
2023-05-15,35,36,36,35,4,12.90,92
2023-05-16,36,36,37,36,5,16.13,93
2023-05-17,36,36,36,36,5,16.13,94
2023-05-18,36,36,36,36,5,16.13,95
2023-05-19,37,37,37,36,6,19.35,96
2023-05-22,37,36,37,36,6,19.35,97
2023-05-23,36,36,37,36,5,16.13,98
2023-05-24,36,36,36,35,5,16.13,99
2023-05-25,35,35,35,35,4,12.90,100
2023-05-26,35,36,36,35,4,12.90,101
2023-05-30,36,35,36,35,5,16.13,102
2023-05-31,35,35,36,35,4,12.90,103
2023-06-01,35,36,36,35,4,12.90,104
2023-06-02,36,36,37,36,5,16.13,105
2023-06-05,36,36,36,36,5,16.13,106
2023-06-06,36,36,36,36,5,16.13,107
2023-06-07,36,36,36,36,5,16.13,108
2023-06-08,36,36,36,36,5,16.13,109
2023-06-09,36,36,37,36,5,16.13,110
2023-06-12,37,36,37,36,6,19.35,111
2023-06-13,36,37,37,36,5,16.13,112
2023-06-14,37,36,37,36,6,19.35,113
2023-06-15,36,36,37,36,5,16.13,114
2023-06-16,36,35,36,35,5,16.13,115
2023-06-20,35,35,35,35,4,12.90,116
2023-06-21,35,35,36,35,4,12.90,117
2023-06-22,35,35,35,35,4,12.90,118
2023-06-23,35,35,35,35,4,12.90,119
2023-06-26,35,35,35,34,4,12.90,120
2023-06-27,35,35,35,35,4,12.90,121
2023-06-28,35,35,35,34,4,12.90,122
2023-06-29,35,35,35,35,4,12.90,123
2023-06-30,35,36,36,35,4,12.90,124
2023-07-03,36,36,37,36,5,16.13,125
2023-07-05,36,36,36,36,5,16.13,126
2023-07-06,36,35,36,35,5,16.13,127
2023-07-07,35,35,35,35,4,12.90,128
2023-07-10,35,35,35,34,4,12.90,129
2023-07-11,35,34,35,34,4,12.90,130
2023-07-12,34,35,35,34,3,9.68,131
