dates_date,dates_month,dates_year,volume,vwap,transactions
2023-01-03,1,2023,655058,31,6016
2023-01-04,1,2023,504216,32,5758
2023-01-05,1,2023,610107,31,6571
2023-01-06,1,2023,460221,32,4401
2023-01-09,1,2023,366340,33,4819
2023-01-10,1,2023,298753,33,2810
2023-01-11,1,2023,288415,33,3319
2023-01-12,1,2023,634774,33,6655
2023-01-13,1,2023,188797,34,2450
2023-01-17,1,2023,259543,34,2950
2023-01-18,1,2023,418655,35,5025
2023-01-19,1,2023,348582,34,3646
2023-01-20,1,2023,563055,34,5452
2023-01-23,1,2023,537815,35,5743
2023-01-24,1,2023,277937,35,2652
2023-01-25,1,2023,342724,35,3383
2023-01-26,1,2023,457604,35,3241
2023-01-27,1,2023,274406,35,3035
2023-01-30,1,2023,204078,35,2274
2023-01-31,1,2023,444045,35,4991
2023-02-01,2,2023,477105,34,4599
2023-02-02,2,2023,533074,34,4850
2023-02-03,2,2023,410888,34,4201
2023-02-06,2,2023,340672,34,3628
2023-02-07,2,2023,458548,34,5532
2023-02-08,2,2023,252452,33,2888
2023-02-09,2,2023,384710,34,3426
2023-02-10,2,2023,337248,34,3480
2023-02-13,2,2023,432459,34,4164
2023-02-14,2,2023,376094,34,3934
2023-02-15,2,2023,208672,34,2433
2023-02-16,2,2023,212460,34,2198
2023-02-17,2,2023,179472,34,1976
2023-02-21,2,2023,206737,34,2613
2023-02-22,2,2023,291313,34,2905
2023-02-23,2,2023,324789,34,3111
2023-02-24,2,2023,439114,33,4347
2023-02-27,2,2023,566424,33,6134
2023-02-28,2,2023,413213,33,4842
2023-03-01,3,2023,663139,33,7184
2023-03-02,3,2023,493334,33,5799
2023-03-03,3,2023,309525,33,3281
2023-03-06,3,2023,227652,34,2809
2023-03-07,3,2023,335717,33,3926
2023-03-08,3,2023,266154,33,2863
2023-03-09,3,2023,223738,33,2636
2023-03-10,3,2023,335614,32,4173
2023-03-13,3,2023,490708,32,5818
2023-03-14,3,2023,269234,32,3548
2023-03-15,3,2023,348329,31,4117
2023-03-16,3,2023,477764,32,5895
2023-03-17,3,2023,715878,32,3971
2023-03-20,3,2023,299786,32,4398
2023-03-21,3,2023,305951,32,3698
2023-03-22,3,2023,263134,32,2988
2023-03-23,3,2023,349553,31,3927
2023-03-24,3,2023,338599,31,3554
2023-03-27,3,2023,296649,32,2996
2023-03-28,3,2023,246919,32,2852
2023-03-29,3,2023,340949,32,3692
2023-03-30,3,2023,303868,33,3260
2023-03-31,3,2023,335348,33,4269
2023-04-03,4,2023,268551,33,2779
2023-04-04,4,2023,380650,33,4406
2023-04-05,4,2023,202022,33,2438
2023-04-06,4,2023,225985,33,2882
2023-04-10,4,2023,241382,33,2462
2023-04-11,4,2023,259562,34,2944
2023-04-12,4,2023,1018954,34,9501
2023-04-13,4,2023,623016,35,7471
2023-04-14,4,2023,553369,35,6045
2023-04-17,4,2023,916101,35,7182
2023-04-18,4,2023,398405,35,4319
2023-04-19,4,2023,225269,35,2737
2023-04-20,4,2023,368968,35,4206
2023-04-21,4,2023,274429,35,3235
2023-04-24,4,2023,622834,35,3872
2023-04-25,4,2023,505408,34,5568
2023-04-26,4,2023,455401,34,4739
2023-04-27,4,2023,148129,34,1737
2023-04-28,4,2023,251836,34,2822
2023-05-01,5,2023,234505,34,2749
2023-05-02,5,2023,279212,34,2944
2023-05-03,5,2023,591652,35,5295
2023-05-04,5,2023,397355,35,4097
2023-05-05,5,2023,710206,35,4251
2023-05-08,5,2023,348101,35,3179
2023-05-09,5,2023,179401,35,2039
2023-05-10,5,2023,444521,35,4718
2023-05-11,5,2023,191929,35,2297
2023-05-12,5,2023,217099,35,2929
2023-05-15,5,2023,471927,36,4270
2023-05-16,5,2023,416757,36,4628
2023-05-17,5,2023,282967,36,3203
2023-05-18,5,2023,207723,36,2615
2023-05-19,5,2023,261731,36,3135
2023-05-22,5,2023,77097,37,1280
2023-05-23,5,2023,147953,36,1693
2023-05-24,5,2023,178020,35,2094
2023-05-25,5,2023,212436,35,2606
2023-05-26,5,2023,239452,36,2686
2023-05-30,5,2023,476740,35,5807
2023-05-31,5,2023,261871,35,3387
2023-06-01,6,2023,318520,36,4499
2023-06-02,6,2023,277051,36,3774
2023-06-05,6,2023,213256,36,3232
2023-06-06,6,2023,326415,36,3933
2023-06-07,6,2023,190314,36,2413
2023-06-08,6,2023,160925,36,2201
