forex_date,forex_volume,forex_vwap,forex_transactions,forex_open_price,forex_close_price,forex_highest_price,forex_lowest_price,forex_diff,forex_percent_inc
2023-01-01 00:00:00,74147,1.06760,74147,1.07027,1.06764,1.07100,1.06450,.00000,.000
2023-01-02 00:00:00,236637,1.05850,236637,1.06765,1.05450,1.06810,1.05180,-.00262,.000
2023-01-03 00:00:00,229494,1.05980,229494,1.05453,1.06050,1.06353,1.05440,-.01574,-1.869
2023-01-04 00:00:00,210543,1.05740,210543,1.06056,1.05211,1.06320,1.05138,-.00971,-.934
2023-01-05 00:00:00,207800,1.05510,207800,1.05209,1.06610,1.06620,1.04829,-.01818,-1.869
2023-01-06 00:00:00,2,1.06530,2,1.06440,1.06620,1.06620,1.06440,-.00587,-.934
2023-01-07 00:00:00,4731,1.06500,4731,1.06408,1.06626,1.06627,1.06307,-.00619,-.934
2023-01-08 00:00:00,205277,1.07060,205277,1.06624,1.07325,1.07610,1.06500,-.00403,.000
2023-01-09 00:00:00,202545,1.07340,202545,1.07325,1.07383,1.07593,1.07100,.00298,.000
2023-01-10 00:00:00,180813,1.07480,180813,1.07382,1.07655,1.07763,1.07240,.00355,.000
2023-01-11 00:00:00,225604,1.07950,225604,1.07656,1.08598,1.08670,1.07296,.00629,.934
2023-01-12 00:00:00,204001,1.08310,204001,1.08597,1.08450,1.08682,1.07799,.01570,1.869
2023-01-13 00:00:00,3,1.08450,3,1.08470,1.08420,1.08470,1.08420,.01443,.934
2023-01-14 00:00:00,4685,1.08270,4685,1.08278,1.08223,1.08349,1.08161,.01251,.934
2023-01-15 00:00:00,143926,1.08310,143926,1.08225,1.08294,1.08741,1.08000,.01198,.934
2023-01-16 00:00:00,208089,1.08200,208089,1.08300,1.07893,1.08693,1.07730,.01273,.934
2023-01-17 00:00:00,241865,1.08180,241865,1.07894,1.07972,1.08874,1.07660,.00867,.934
2023-01-18 00:00:00,205133,1.08110,205133,1.07979,1.08320,1.08400,1.07810,.00952,.934
