dates_date,open_price,close_price,highest_price,lowest_price,diff,percen_inc,netflix_growth
2023-01-03,298,294,298,288,0,.00,1
2023-01-04,298,309,311,295,0,.00,2
2023-01-05,307,309,314,304,9,3.02,3
2023-01-06,311,315,316,303,13,4.36,4
2023-01-09,316,315,321,313,18,6.04,5
2023-01-10,311,327,329,311,13,4.36,6
2023-01-11,326,327,328,321,28,9.40,7
2023-01-12,332,330,332,323,34,11.41,8
2023-01-13,329,332,336,328,31,10.40,9
2023-01-17,331,326,332,323,33,11.07,10
2023-01-18,326,326,330,321,28,9.40,11
2023-01-19,322,315,324,313,24,8.05,12
2023-01-20,336,342,344,332,38,12.75,13
2023-01-23,341,357,362,340,43,14.43,14
2023-01-24,357,363,365,355,59,19.80,15
2023-01-25,360,367,368,358,62,20.81,16
2023-01-26,368,364,369,361,70,23.49,17
2023-01-27,363,360,365,360,65,21.81,18
2023-01-30,358,353,360,352,60,20.13,19
2023-01-31,349,353,355,348,51,17.11,20
2023-02-01,353,361,365,349,55,18.46,21
2023-02-02,365,366,368,358,67,22.48,22
2023-02-03,359,365,379,359,61,20.47,23
2023-02-06,363,361,368,360,65,21.81,24
2023-02-07,358,362,364,354,60,20.13,25
2023-02-08,360,366,368,358,62,20.81,26
2023-02-09,372,362,373,361,74,24.83,27
2023-02-10,359,347,362,347,61,20.47,28
2023-02-13,349,358,359,344,51,17.11,29
2023-02-14,357,359,363,353,59,19.80,30
2023-02-15,356,361,362,354,58,19.46,31
2023-02-16,355,350,361,350,57,19.13,32
2023-02-17,347,347,349,342,49,16.44,33
2023-02-21,342,337,344,336,44,14.77,34
2023-02-22,337,334,341,332,39,13.09,35
2023-02-23,331,323,331,314,33,11.07,36
2023-02-24,319,317,321,314,21,7.05,37
2023-02-27,323,323,330,322,25,8.39,38
2023-02-28,323,322,327,321,25,8.39,39
2023-03-01,321,313,326,312,23,7.72,40
2023-03-02,310,311,315,310,12,4.03,41
2023-03-03,315,315,317,310,17,5.70,42
2023-03-06,317,312,323,311,19,6.38,43
2023-03-07,312,308,314,306,14,4.70,44
2023-03-08,309,311,311,305,11,3.69,45
2023-03-09,312,297,312,294,14,4.70,46
2023-03-10,297,292,298,289,-1,-.34,47
2023-03-13,287,293,299,285,-11,-3.69,48
2023-03-14,295,294,297,290,-3,-1.01,49
2023-03-15,292,303,306,292,-6,-2.01,50
2023-03-16,304,310,316,301,6,2.01,51
2023-03-17,310,303,310,300,12,4.03,52
2023-03-20,299,305,307,296,1,.34,53
2023-03-21,306,305,307,300,8,2.68,54
2023-03-22,306,293,306,293,8,2.68,55
2023-03-23,304,320,322,304,6,2.01,56
2023-03-24,320,328,331,320,22,7.38,57
2023-03-27,327,327,336,324,29,9.73,58
2023-03-28,326,323,333,321,28,9.40,59
2023-03-29,326,332,332,325,28,9.40,60
2023-03-30,340,338,343,335,42,14.09,61
2023-03-31,340,345,345,337,42,14.09,62
2023-04-03,341,348,348,340,43,14.43,63
2023-04-04,348,346,349,343,50,16.78,64
2023-04-05,345,342,345,336,47,15.77,65
2023-04-06,339,339,340,332,41,13.76,66
2023-04-10,335,338,339,333,37,12.42,67
2023-04-11,343,338,347,337,45,15.10,68
2023-04-12,340,331,342,330,42,14.09,69
2023-04-13,339,346,346,338,41,13.76,70
2023-04-14,342,338,344,336,44,14.77,71
2023-04-17,338,332,338,327,40,13.42,72
2023-04-18,335,333,337,330,37,12.42,73
2023-04-19,324,323,325,316,26,8.72,74
2023-04-20,320,325,331,318,22,7.38,75
2023-04-21,323,327,328,319,25,8.39,76
2023-04-24,330,329,334,326,32,10.74,77
2023-04-25,328,322,328,321,30,10.07,78
2023-04-26,321,321,325,320,23,7.72,79
2023-04-27,324,325,327,317,26,8.72,80
2023-04-28,325,329,330,324,27,9.06,81
2023-05-01,329,324,331,318,31,10.40,82
2023-05-02,325,317,326,315,27,9.06,83
2023-05-03,317,319,324,315,19,6.38,84
2023-05-04,319,320,323,317,21,7.05,85
2023-05-05,323,322,324,319,25,8.39,86
2023-05-08,322,331,332,322,24,8.05,87
2023-05-09,330,332,336,329,32,10.74,88
2023-05-10,335,335,337,329,37,12.42,89
2023-05-11,334,344,345,331,36,12.08,90
2023-05-12,344,339,348,337,46,15.44,91
2023-05-15,340,335,341,335,42,14.09,92
2023-05-16,334,333,335,331,36,12.08,93
2023-05-17,331,339,341,329,33,11.07,94
2023-05-18,347,371,375,346,49,16.44,95
2023-05-19,369,365,369,363,71,23.83,96
2023-05-22,365,363,372,362,67,22.48,97
2023-05-23,360,355,364,354,62,20.81,98
2023-05-24,356,364,367,356,58,19.46,99
2023-05-25,359,359,367,357,61,20.47,100
2023-05-26,361,378,383,356,63,21.14,101
2023-05-30,397,392,405,385,99,33.22,102
2023-05-31,391,395,396,388,93,31.21,103
2023-06-01,397,403,407,393,99,33.22,104
2023-06-02,402,400,406,395,104,34.90,105
2023-06-05,400,403,413,400,102,34.23,106
2023-06-06,405,399,405,396,107,35.91,107
2023-06-07,410,399,418,399,112,37.58,108
2023-06-08,399,409,409,396,101,33.89,109
2023-06-09,424,420,425,414,126,42.28,110
2023-06-12,418,423,424,416,120,40.27,111
2023-06-13,430,435,437,428,132,44.30,112
2023-06-14,434,440,447,433,136,45.64,113
2023-06-15,444,445,448,439,146,48.99,114
2023-06-16,446,431,447,430,148,49.66,115
