dates_date,dates_month,dates_year,volume,vwap,transactions
2023-01-03,1,2023,6763964,293,129813
2023-01-04,1,2023,9305454,305,172350
2023-01-05,1,2023,8328390,310,149794
2023-01-06,1,2023,8959839,311,161602
2023-01-09,1,2023,6766628,317,141744
2023-01-10,1,2023,13072286,324,214470
2023-01-11,1,2023,9579681,325,165549
2023-01-12,1,2023,10856246,329,159639
2023-01-13,1,2023,8286816,333,156111
2023-01-17,1,2023,9246987,326,171890
2023-01-18,1,2023,7814115,325,144977
2023-01-19,1,2023,17991995,324,294560
2023-01-20,1,2023,28430114,338,419463
2023-01-23,1,2023,15646853,355,269400
2023-01-24,1,2023,11786028,362,192471
2023-01-25,1,2023,7764807,363,158128
2023-01-26,1,2023,8256844,365,143277
2023-01-27,1,2023,6703548,362,130305
2023-01-30,1,2023,5127593,355,115332
2023-01-31,1,2023,5660738,352,104152
2023-02-01,2,2023,8005170,358,149434
2023-02-02,2,2023,7856952,364,160951
2023-02-03,2,2023,9402034,369,169516
2023-02-06,2,2023,4994942,363,102913
2023-02-07,2,2023,6289368,359,105259
2023-02-08,2,2023,6253179,364,110262
2023-02-09,2,2023,6901100,367,118607
2023-02-10,2,2023,7291096,352,137480
2023-02-13,2,2023,7126245,354,121617
2023-02-14,2,2023,4624758,358,91209
2023-02-15,2,2023,3969945,358,80333
2023-02-16,2,2023,5215726,354,95445
2023-02-17,2,2023,5294727,346,91251
2023-02-21,2,2023,5698292,339,112142
2023-02-22,2,2023,4546249,336,93812
2023-02-23,2,2023,13238673,321,220121
2023-02-24,2,2023,6830692,316,124347
2023-02-27,2,2023,6138380,325,115579
2023-02-28,2,2023,3675300,323,78816
2023-03-01,3,2023,4911311,316,99791
2023-03-02,3,2023,4921053,312,91780
2023-03-03,3,2023,5953319,315,109850
2023-03-06,3,2023,5660743,317,103025
2023-03-07,3,2023,4553082,310,98956
2023-03-08,3,2023,3479474,309,68415
2023-03-09,3,2023,7443350,301,141916
2023-03-10,3,2023,5759315,293,114010
2023-03-13,3,2023,6292385,294,118795
2023-03-14,3,2023,5956692,293,112813
2023-03-15,3,2023,9215340,301,154741
2023-03-16,3,2023,7912371,310,150926
2023-03-17,3,2023,6918777,304,118389
2023-03-20,3,2023,5113430,303,94800
2023-03-21,3,2023,4886279,304,98160
2023-03-22,3,2023,5808035,300,115490
2023-03-23,3,2023,15653347,317,261497
2023-03-24,3,2023,13004085,327,210303
2023-03-27,3,2023,8623263,330,147789
2023-03-28,3,2023,6489388,326,111626
2023-03-29,3,2023,6287336,329,94531
2023-03-30,3,2023,7131468,338,125257
2023-03-31,3,2023,5610161,342,108308
2023-04-03,4,2023,4413650,345,95668
2023-04-04,4,2023,3298072,346,71594
2023-04-05,4,2023,4205545,340,89971
2023-04-06,4,2023,4660542,337,93472
2023-04-10,4,2023,2657898,337,74148
2023-04-11,4,2023,4044778,340,91451
2023-04-12,4,2023,3965440,334,95019
2023-04-13,4,2023,7406437,343,147319
2023-04-14,4,2023,5350508,339,125185
2023-04-17,4,2023,6134507,331,147443
2023-04-18,4,2023,17935276,328,302786
2023-04-19,4,2023,22128267,321,341366
2023-04-20,4,2023,9947800,326,160778
2023-04-21,4,2023,6347320,325,104656
2023-04-24,4,2023,5584427,330,102342
2023-04-25,4,2023,5426642,323,96164
2023-04-26,4,2023,4623238,322,95775
2023-04-27,4,2023,5618768,323,112611
2023-04-28,4,2023,4228374,328,82981
2023-05-01,5,2023,5338904,323,104850
2023-05-02,5,2023,4315212,318,94227
2023-05-03,5,2023,5064057,321,101597
2023-05-04,5,2023,3879657,320,84943
2023-05-05,5,2023,3990637,322,87620
2023-05-08,5,2023,5488593,330,120010
2023-05-09,5,2023,5544852,333,109937
2023-05-10,5,2023,4281397,333,92176
2023-05-11,5,2023,8033531,341,135685
2023-05-12,5,2023,6082360,341,136098
2023-05-15,5,2023,3652970,336,91187
2023-05-16,5,2023,3334863,333,79710
2023-05-17,5,2023,3958807,338,91929
2023-05-18,5,2023,20925235,367,350403
2023-05-19,5,2023,7822203,365,150827
2023-05-22,5,2023,5406420,365,111940
2023-05-23,5,2023,6866078,358,144887
2023-05-24,5,2023,7973316,362,160262
2023-05-25,5,2023,6263105,361,126897
2023-05-26,5,2023,9360436,375,177028
2023-05-30,5,2023,10864990,394,225741
2023-05-31,5,2023,6988047,393,136118
2023-06-01,6,2023,7160145,402,152842
2023-06-02,6,2023,5902381,401,139004
2023-06-05,6,2023,7247413,406,158019
2023-06-06,6,2023,4991532,399,117609
2023-06-07,6,2023,11932392,405,213501
2023-06-08,6,2023,5991087,405,122032
2023-06-09,6,2023,12372827,420,231792
2023-06-12,6,2023,5967712,420,127039
2023-06-13,6,2023,7820535,433,167193
2023-06-14,6,2023,8387679,441,174815
2023-06-15,6,2023,7099915,444,144231
2023-06-16,6,2023,8753740,437,163692
2023-06-20,6,2023,4752113,434,121767
2023-06-21,6,2023,5146441,426,123255
2023-06-22,6,2023,4872246,421,116065
2023-06-23,6,2023,8298600,422,116279
2023-06-26,6,2023,4640022,420,107363
2023-06-27,6,2023,4818068,417,107514
2023-06-28,6,2023,8811342,431,173572
2023-06-29,6,2023,4926910,430,107596
2023-06-30,6,2023,7330394,440,147509
2023-07-03,7,2023,3719607,436,93096
2023-07-05,7,2023,6875414,445,145336
2023-07-06,7,2023,4944892,435,118435
2023-07-07,7,2023,4165144,439,96695
2023-07-10,7,2023,4251737,440,102799
2023-07-11,7,2023,4574559,436,108315
2023-07-12,7,2023,5731657,442,128542
2023-07-13,7,2023,6155875,447,132667
2023-07-14,7,2023,7192532,446,163376
2023-07-17,7,2023,6901141,450,153237
2023-07-18,7,2023,13195127,466,254502
2023-07-19,7,2023,20983431,472,425215
2023-07-20,7,2023,23989711,438,458169
2023-07-21,7,2023,17340028,428,259416
2023-07-24,7,2023,8282369,425,165184
2023-07-25,7,2023,4859843,428,119164
2023-07-26,7,2023,6007892,419,146922
2023-07-27,7,2023,6594466,419,148167
2023-07-28,7,2023,6428073,423,128657
2023-07-31,7,2023,6584739,435,137360
2023-08-01,8,2023,5725544,440,126258
2023-08-02,8,2023,4921781,430,114693
2023-08-03,8,2023,6259309,435,129146
2023-08-04,8,2023,5441811,432,114677
2023-08-07,8,2023,4779703,436,102352
2023-08-08,8,2023,3767195,438,89936
2023-08-09,8,2023,3846639,431,94393
2023-08-10,8,2023,5467607,433,118229
2023-08-11,8,2023,3924944,424,101871
2023-08-14,8,2023,3965963,425,98255
2023-08-15,8,2023,3367998,425,87531
2023-08-16,8,2023,3967021,418,91946
2023-08-17,8,2023,6031469,406,132283
2023-08-18,8,2023,4312096,403,105088
2023-08-21,8,2023,3861579,405,92474
2023-08-22,8,2023,3603273,412,96173
2023-08-23,8,2023,8174732,429,163498
2023-08-24,8,2023,5687799,412,132868
2023-08-25,8,2023,5390933,414,113989
2023-08-28,8,2023,2928613,416,69919
2023-08-29,8,2023,4481303,426,96287
2023-08-30,8,2023,3625380,434,92069
2023-08-31,8,2023,3802954,434,77528
2023-09-01,9,2023,4793379,440,111618
2023-09-05,9,2023,6155865,449,135863
2023-09-06,9,2023,3862274,445,92581
2023-09-07,9,2023,2922676,441,80305
2023-09-08,9,2023,2704353,442,68316
2023-09-11,9,2023,2913767,445,82130
2023-09-12,9,2023,3124024,438,83265
2023-09-13,9,2023,11843027,419,234329
2023-09-14,9,2023,10709043,403,216137
2023-09-15,9,2023,9116745,398,172182
2023-09-18,9,2023,4704706,395,110709
2023-09-19,9,2023,4080054,394,100176
2023-09-20,9,2023,3866619,391,95844
2023-09-21,9,2023,5556388,387,133453
2023-09-22,9,2023,3699796,381,98461
2023-09-25,9,2023,3757278,383,92298
2023-09-26,9,2023,4089392,380,103622
2023-09-27,9,2023,3843521,379,89262
2023-09-28,9,2023,4369906,375,106632
2023-09-29,9,2023,4205298,377,91848
2023-10-02,10,2023,3102101,380,81831
2023-10-03,10,2023,8878134,381,187638
2023-10-04,10,2023,4303658,376,93063
2023-10-05,10,2023,5034773,370,116312
2023-10-06,10,2023,4778118,378,110175
2023-10-09,10,2023,3299802,383,80863
2023-10-10,10,2023,7288939,378,148405
2023-10-11,10,2023,9151395,369,167878
2023-10-12,10,2023,7366711,363,148935
2023-10-13,10,2023,6316320,354,134593
2023-10-16,10,2023,5128947,359,107540
2023-10-17,10,2023,5908412,357,123703
2023-10-18,10,2023,11426847,360,229803
2023-10-19,10,2023,28074416,400,474419
2023-10-20,10,2023,12769942,403,219822
2023-10-23,10,2023,7323532,404,152540
2023-10-24,10,2023,6459247,412,140163
2023-10-25,10,2023,6299587,413,147079
2023-10-26,10,2023,6849702,407,147982
2023-10-27,10,2023,4993487,400,118290
2023-10-30,10,2023,5317149,408,122529
2023-10-31,10,2023,3877623,409,93433
2023-11-01,11,2023,4806108,417,109946
2023-11-02,11,2023,4475984,423,108297
2023-11-03,11,2023,3667051,431,94881
2023-11-06,11,2023,3003235,432,87535
2023-11-07,11,2023,3291064,435,80237
2023-11-08,11,2023,2356845,435,70157
2023-11-09,11,2023,2735507,436,80362
2023-11-10,11,2023,4433884,443,107013
2023-11-13,11,2023,2896143,445,79442
2023-11-14,11,2023,4060884,449,103753
2023-11-15,11,2023,4975283,460,127658
2023-11-16,11,2023,3655974,465,99286
2023-11-17,11,2023,2793314,465,81850
2023-11-20,11,2023,3611495,472,105617
2023-11-21,11,2023,2997723,475,92496
2023-11-22,11,2023,2843891,479,86792
2023-11-24,11,2023,1398982,479,45411
2023-11-27,11,2023,3625924,479,88129
2023-11-28,11,2023,2890164,478,75936
2023-11-29,11,2023,2855540,477,89870
2023-11-30,11,2023,4287349,473,87932
2023-12-01,12,2023,4341471,468,116531
2023-12-04,12,2023,5137713,454,138021
2023-12-05,12,2023,3370674,453,94511
2023-12-06,12,2023,4178755,450,112416
2023-12-07,12,2023,3506722,451,90529
2023-12-08,12,2023,3452984,453,74610
2023-12-11,12,2023,4929662,464,129117
2023-12-12,12,2023,3302660,462,92205
2023-12-13,12,2023,5820192,475,152297
2023-12-14,12,2023,5176437,470,137290
2023-12-15,12,2023,7805292,470,104436
2023-12-18,12,2023,6410660,486,149690
2023-12-19,12,2023,3849014,491,103606
2023-12-20,12,2023,4563690,495,124930
2023-12-21,12,2023,2756225,490,78537
2023-12-22,12,2023,2702672,489,81510
2023-12-26,12,2023,2034517,489,65873
2023-12-27,12,2023,2561330,491,73419
2023-12-28,12,2023,1710492,490,66008
2023-12-29,12,2023,2740555,486,82052
2024-01-02,1,2024,5038623,469,145057
2024-01-03,1,2024,3442594,471,94292
2024-01-04,1,2024,3606113,475,93717
2024-01-05,1,2024,2631250,474,78345
2024-01-08,1,2024,3675775,481,97407
2024-01-09,1,2024,3525257,479,94891
2024-01-10,1,2024,4342448,478,106506
2024-01-11,1,2024,7993265,492,184188
2024-01-12,1,2024,5003718,494,114777
2024-01-16,1,2024,4678974,483,128383
2024-01-17,1,2024,4801993,479,115622
2024-01-18,1,2024,4052869,483,103784
2024-01-19,1,2024,5672351,480,119503
2024-01-22,1,2024,5208109,485,127093
2024-01-23,1,2024,15506024,498,316371
2024-01-24,1,2024,26398497,551,480993
2024-01-25,1,2024,9451915,555,218016
2024-01-26,1,2024,12770571,571,256616
2024-01-29,1,2024,6905390,571,162886
2024-01-30,1,2024,6181798,564,155982
2024-01-31,1,2024,4857599,565,119912
2024-02-01,2,2024,3174002,567,94370
2024-02-02,2,2024,4032843,564,116103
2024-02-05,2,2024,4143099,564,112036
2024-02-06,2,2024,2825300,557,91003
2024-02-07,2,2024,4372491,562,105419
2024-02-08,2,2024,3175468,558,93871
2024-02-09,2,2024,3055698,561,87494
2024-02-12,2,2024,3608487,561,101262
2024-02-13,2,2024,3511453,554,97753
2024-02-14,2,2024,5634226,574,150440
2024-02-15,2,2024,5220938,588,141773
2024-02-16,2,2024,4325689,585,122754
2024-02-20,2,2024,3124236,574,96566
2024-02-21,2,2024,2281143,572,82685
2024-02-22,2,2024,3526597,586,105448
2024-02-23,2,2024,2468852,584,76339
2024-02-26,2,2024,2393712,587,80240
2024-02-27,2,2024,4489355,600,137763
2024-02-28,2,2024,2605242,595,87227
2024-02-29,2,2024,3572082,601,85606
2024-03-01,3,2024,4270305,613,128597
2024-03-04,3,2024,3020306,618,108838
2024-03-05,3,2024,3849563,598,123204
2024-03-06,3,2024,2469592,600,89902
2024-03-07,3,2024,2742805,606,86915
2024-03-08,3,2024,2777243,607,91363
2024-03-11,3,2024,2500940,604,90341
2024-03-12,3,2024,2821631,608,92851
2024-03-13,3,2024,2192094,610,71175
2024-03-14,3,2024,3120452,612,95619
2024-03-15,3,2024,6671629,610,111412
2024-03-18,3,2024,3344246,619,104274
2024-03-19,3,2024,2142613,617,74007
2024-03-20,3,2024,2639509,624,81403
2024-03-21,3,2024,2507671,626,88120
2024-03-22,3,2024,2135688,626,70864
2024-03-25,3,2024,1803264,627,71055
2024-03-26,3,2024,2804453,628,82664
2024-03-27,3,2024,2628267,616,95120
2024-03-28,3,2024,3707363,606,110234
2024-04-01,4,2024,2115925,611,82606
2024-04-02,4,2024,2029217,611,72422
2024-04-03,4,2024,2931231,626,96201
2024-04-04,4,2024,3061629,626,95569
2024-04-05,4,2024,3377842,633,107085
2024-04-08,4,2024,2145731,631,84220
2024-04-09,4,2024,2146635,619,85331
2024-04-10,4,2024,2800158,616,81217
2024-04-11,4,2024,2662662,626,80594
2024-04-12,4,2024,2959269,624,92075
2024-04-15,4,2024,2943017,613,103825
2024-04-16,4,2024,3466132,618,110556
2024-04-17,4,2024,3253188,613,98949
2024-04-18,4,2024,8446708,604,231189
2024-04-19,4,2024,16399923,562,365066
2024-04-22,4,2024,8505635,551,185000
2024-04-23,4,2024,4923022,572,147044
2024-04-24,4,2024,5311637,558,156052
2024-04-25,4,2024,3753203,560,118427
2024-04-26,4,2024,4293039,558,123070
2024-04-29,4,2024,2374409,557,92770
2024-04-30,4,2024,3335355,552,87462
2024-05-01,5,2024,3426664,550,99426
2024-05-02,5,2024,3038909,562,85965
2024-05-03,5,2024,3295589,576,98847
2024-05-06,5,2024,3667069,592,109515
2024-05-07,5,2024,3584403,602,101248
2024-05-08,5,2024,3067646,612,97568
2024-05-09,5,2024,2025626,612,77622
2024-05-10,5,2024,2634719,612,91574
2024-05-13,5,2024,2069115,613,80428
2024-05-14,5,2024,2778041,613,89962
2024-05-15,5,2024,5464229,615,143584
2024-05-16,5,2024,3039110,612,86616
2024-05-17,5,2024,3678459,620,93966
2024-05-20,5,2024,3752218,634,122575
2024-05-21,5,2024,2892622,646,101662
2024-05-22,5,2024,2160279,642,81835
2024-05-23,5,2024,2262790,635,84603
2024-05-24,5,2024,2505786,647,86720
2024-05-28,5,2024,2548103,647,87390
2024-05-29,5,2024,3607399,658,113658
2024-05-30,5,2024,2356421,649,90181
2024-05-31,5,2024,3779543,638,110688
2024-06-03,6,2024,2251640,633,99831
2024-06-04,6,2024,2929983,631,85001
2024-06-05,6,2024,2664537,645,90952
2024-06-06,6,2024,2414436,651,82977
2024-06-07,6,2024,1842418,643,60734
2024-06-10,6,2024,1908761,641,78369
2024-06-11,6,2024,2131447,645,79974
2024-06-12,6,2024,2073424,649,89686
2024-06-13,6,2024,1837010,650,82647
2024-06-14,6,2024,4413527,668,139573
2024-06-17,6,2024,3522749,675,124035
2024-06-18,6,2024,2876704,682,99071
2024-06-20,6,2024,2544168,680,103091
2024-06-21,6,2024,4261595,684,90444
2024-06-24,6,2024,3836688,671,118992
2024-06-25,6,2024,2194325,669,78148
2024-06-26,6,2024,3449484,677,79124
2024-06-27,6,2024,2371128,684,82945
2024-06-28,6,2024,3261691,677,95582
2024-07-01,7,2024,2173401,671,84221
