dates_date,dates_month,dates_year,volume,vwap,transactions
2023-01-03,1,2023,231402818,109,2540111
2023-01-04,1,2023,180358575,111,1652353
2023-01-05,1,2023,157927424,109,1337242
2023-01-06,1,2023,220874051,109,2015328
2023-01-09,1,2023,190283951,121,1740776
2023-01-10,1,2023,167603486,117,1402648
2023-01-11,1,2023,183810771,122,1509956
2023-01-12,1,2023,169400913,121,1432274
2023-01-13,1,2023,180714119,119,1430041
2023-01-17,1,2023,186476985,129,1495231
2023-01-18,1,2023,195526818,130,1541859
2023-01-19,1,2023,170287880,127,1156273
2023-01-20,1,2023,138858136,131,991848
2023-01-23,1,2023,202107061,141,1479332
2023-01-24,1,2023,158669331,143,1176066
2023-01-25,1,2023,192731847,143,1579530
2023-01-26,1,2023,234708790,157,2046126
2023-01-27,1,2023,306542013,172,2631365
2023-01-30,1,2023,230862447,172,2010138
2023-01-31,1,2023,196729941,170,1496828
2023-02-01,2,2023,213761623,175,1598173
2023-02-02,2,2023,217448287,190,1949049
2023-02-03,2,2023,232595013,193,1969265
2023-02-06,2,2023,186180031,194,1591557
2023-02-07,2,2023,185997767,194,1547233
2023-02-08,2,2023,180612134,200,1575281
2023-02-09,2,2023,215431442,209,2118951
2023-02-10,2,2023,204754129,198,1957749
2023-02-13,2,2023,172475452,193,1522129
2023-02-14,2,2023,216334008,201,1819451
2023-02-15,2,2023,182016181,211,1666645
2023-02-16,2,2023,229558338,211,2110972
2023-02-17,2,2023,213728549,202,1836021
2023-02-21,2,2023,179997088,202,1812467
2023-02-22,2,2023,191730657,197,1620639
2023-02-23,2,2023,146359950,200,1294328
2023-02-24,2,2023,142221085,195,1355710
2023-02-27,2,2023,161026215,206,1526655
2023-02-28,2,2023,153140787,207,1422655
2023-03-01,3,2023,156837790,201,1412446
2023-03-02,3,2023,181943904,190,1843861
2023-03-03,3,2023,154150777,197,1388271
2023-03-06,3,2023,128086106,195,1172406
2023-03-07,3,2023,148125790,190,1386300
2023-03-08,3,2023,151731963,181,1422858
2023-03-09,3,2023,170023794,178,1708131
2023-03-10,3,2023,191488872,174,1624263
2023-03-13,3,2023,167790256,171,1583454
2023-03-14,3,2023,143717897,181,1184341
