vti_id,dates_date,open_price,close_price,highest_price,lowest_price,diff,percen_inc
1,2023-01-03 00:00:00,192,190,193,188,0,.00
2,2023-01-04 00:00:00,191,192,193,190,-1,-.52
3,2023-01-05 00:00:00,191,189,191,189,-1,-.52
4,2023-01-06 00:00:00,191,194,194,189,-1,-.52
5,2023-01-09 00:00:00,195,194,196,194,3,1.56
6,2023-01-10 00:00:00,193,195,195,193,1,.52
7,2023-01-11 00:00:00,196,198,198,196,4,2.08
8,2023-01-12 00:00:00,198,199,199,196,6,3.13
9,2023-01-13 00:00:00,197,200,200,197,5,2.60
10,2023-01-17 00:00:00,200,199,200,199,8,4.17
11,2023-01-18 00:00:00,200,196,201,196,8,4.17
12,2023-01-19 00:00:00,195,195,196,194,3,1.56
13,2023-01-20 00:00:00,195,198,198,194,3,1.56
14,2023-01-23 00:00:00,199,201,202,198,7,3.65
15,2023-01-24 00:00:00,200,200,201,199,8,4.17
16,2023-01-25 00:00:00,198,201,201,197,6,3.13
17,2023-01-26 00:00:00,202,203,203,200,10,5.21
18,2023-01-27 00:00:00,202,203,205,202,10,5.21
19,2023-01-30 00:00:00,202,201,203,201,10,5.21
20,2023-01-31 00:00:00,201,204,204,201,9,4.69
21,2023-02-01 00:00:00,203,206,208,202,11,5.73
22,2023-02-02 00:00:00,209,210,210,208,17,8.85
23,2023-02-03 00:00:00,207,207,210,207,15,7.81
24,2023-02-06 00:00:00,206,206,207,205,14,7.29
25,2023-02-07 00:00:00,206,208,209,205,14,7.29
26,2023-02-08 00:00:00,207,206,208,206,15,7.81
27,2023-02-09 00:00:00,208,204,208,204,16,8.33
28,2023-02-10 00:00:00,204,205,205,203,12,6.25
29,2023-02-13 00:00:00,205,207,207,204,13,6.77
30,2023-02-14 00:00:00,206,207,208,205,14,7.29
31,2023-02-15 00:00:00,206,208,208,206,14,7.29
32,2023-02-16 00:00:00,205,205,208,205,13,6.77
33,2023-02-17 00:00:00,204,205,205,203,12,6.25
34,2023-02-21 00:00:00,203,200,203,200,11,5.73
35,2023-02-22 00:00:00,201,200,201,199,9,4.69
36,2023-02-23 00:00:00,202,201,202,199,10,5.21
37,2023-02-24 00:00:00,199,199,199,198,7,3.65
38,2023-02-27 00:00:00,201,200,202,199,9,4.69
39,2023-02-28 00:00:00,200,199,201,199,8,4.17
40,2023-03-01 00:00:00,199,200,200,198,7,3.65
41,2023-03-02 00:00:00,197,200,200,197,5,2.60
42,2023-03-03 00:00:00,201,203,203,200,9,4.69
43,2023-03-06 00:00:00,203,203,204,203,11,5.73
44,2023-03-07 00:00:00,203,200,203,199,11,5.73
45,2023-03-08 00:00:00,200,200,201,199,8,4.17
46,2023-03-09 00:00:00,200,196,201,196,8,4.17
47,2023-03-10 00:00:00,196,193,197,192,4,2.08
48,2023-03-13 00:00:00,190,192,195,190,-2,-1.04
49,2023-03-14 00:00:00,195,195,196,193,3,1.56
50,2023-03-15 00:00:00,192,194,194,191,0,.00
51,2023-03-16 00:00:00,193,197,197,192,1,.52
52,2023-03-17 00:00:00,197,195,197,194,5,2.60
53,2023-03-20 00:00:00,195,196,197,195,3,1.56
54,2023-03-21 00:00:00,198,199,200,198,6,3.13
55,2023-03-22 00:00:00,199,196,201,196,7,3.65
56,2023-03-23 00:00:00,196,195,198,194,4,2.08
57,2023-03-24 00:00:00,194,196,196,193,2,1.04
58,2023-03-27 00:00:00,198,197,198,196,6,3.13
59,2023-03-28 00:00:00,197,197,197,196,5,2.60
60,2023-03-29 00:00:00,199,199,200,198,7,3.65
61,2023-03-30 00:00:00,201,201,201,200,9,4.69
62,2023-03-31 00:00:00,201,204,204,201,9,4.69
63,2023-04-03 00:00:00,203,204,204,203,11,5.73
64,2023-04-04 00:00:00,205,203,205,202,13,6.77
65,2023-04-05 00:00:00,202,202,203,201,10,5.21
66,2023-04-06 00:00:00,202,203,203,201,10,5.21
67,2023-04-10 00:00:00,202,203,203,201,10,5.21
68,2023-04-11 00:00:00,203,203,204,203,11,5.73
69,2023-04-12 00:00:00,205,203,205,202,13,6.77
70,2023-04-13 00:00:00,203,205,205,203,11,5.73
71,2023-04-14 00:00:00,205,205,206,203,13,6.77
72,2023-04-17 00:00:00,205,205,205,204,13,6.77
73,2023-04-18 00:00:00,206,206,206,205,14,7.29
74,2023-04-19 00:00:00,205,206,206,204,13,6.77
75,2023-04-20 00:00:00,204,204,205,204,12,6.25
76,2023-04-21 00:00:00,204,205,205,203,12,6.25
77,2023-04-24 00:00:00,204,205,205,204,12,6.25
78,2023-04-25 00:00:00,204,201,204,201,12,6.25
79,2023-04-26 00:00:00,202,200,202,200,10,5.21
80,2023-04-27 00:00:00,201,204,204,201,9,4.69
81,2023-04-28 00:00:00,204,206,206,204,12,6.25
82,2023-05-01 00:00:00,206,206,207,205,14,7.29
83,2023-05-02 00:00:00,205,203,205,202,13,6.77
84,2023-05-03 00:00:00,203,202,205,202,11,5.73
85,2023-05-04 00:00:00,201,200,202,200,9,4.69
86,2023-05-05 00:00:00,202,204,205,202,10,5.21
87,2023-05-08 00:00:00,204,204,205,204,12,6.25
88,2023-05-09 00:00:00,204,204,204,203,12,6.25
89,2023-05-10 00:00:00,205,204,205,203,13,6.77
90,2023-05-11 00:00:00,204,204,204,203,12,6.25
91,2023-05-12 00:00:00,205,204,205,202,13,6.77
92,2023-05-15 00:00:00,204,205,205,203,12,6.25
93,2023-05-16 00:00:00,204,203,204,203,12,6.25
94,2023-05-17 00:00:00,204,206,206,203,12,6.25
95,2023-05-18 00:00:00,206,208,208,205,14,7.29
96,2023-05-19 00:00:00,208,207,208,207,16,8.33
97,2023-05-22 00:00:00,207,208,208,207,15,7.81
98,2023-05-23 00:00:00,207,205,207,205,15,7.81
99,2023-05-24 00:00:00,205,204,205,203,13,6.77
100,2023-05-25 00:00:00,205,205,206,204,13,6.77
101,2023-05-26 00:00:00,206,208,208,205,14,7.29
102,2023-05-30 00:00:00,209,208,209,207,17,8.85
103,2023-05-31 00:00:00,207,207,207,206,15,7.81
104,2023-06-01 00:00:00,207,209,209,206,15,7.81
105,2023-06-02 00:00:00,210,212,213,210,18,9.38
106,2023-06-05 00:00:00,212,212,213,207,20,10.42
107,2023-06-06 00:00:00,212,213,213,211,20,10.42
108,2023-06-07 00:00:00,213,212,214,212,21,10.94
109,2023-06-08 00:00:00,212,213,213,212,20,10.42
110,2023-06-09 00:00:00,214,213,215,213,22,11.46
111,2023-06-12 00:00:00,214,215,215,214,22,11.46
112,2023-06-13 00:00:00,216,217,217,216,24,12.50
113,2023-06-14 00:00:00,217,217,218,215,25,13.02
114,2023-06-15 00:00:00,216,220,220,216,24,12.50
115,2023-06-16 00:00:00,221,219,221,219,29,15.10
116,2023-06-20 00:00:00,218,218,218,217,26,13.54
117,2023-06-21 00:00:00,217,216,218,216,25,13.02
118,2023-06-22 00:00:00,216,217,217,216,24,12.50
119,2023-06-23 00:00:00,215,214,215,214,23,11.98
120,2023-06-26 00:00:00,214,214,215,214,22,11.46
121,2023-06-27 00:00:00,214,216,217,214,22,11.46
122,2023-06-28 00:00:00,216,216,217,215,24,12.50
123,2023-06-29 00:00:00,216,218,218,216,24,12.50
124,2023-06-30 00:00:00,219,220,220,219,27,14.06
125,2023-07-03 00:00:00,220,220,220,220,28,14.58
126,2023-07-05 00:00:00,220,220,220,219,28,14.58
127,2023-07-06 00:00:00,218,218,218,216,26,13.54
128,2023-07-07 00:00:00,217,218,220,217,25,13.02
129,2023-07-10 00:00:00,217,218,219,217,25,13.02
130,2023-07-11 00:00:00,219,220,220,219,27,14.06
131,2023-07-12 00:00:00,222,222,223,221,30,15.63
132,2023-07-13 00:00:00,223,224,224,223,31,16.15
133,2023-07-14 00:00:00,224,223,224,223,32,16.67
134,2023-07-17 00:00:00,223,224,225,223,31,16.15
135,2023-07-18 00:00:00,224,226,226,224,32,16.67
136,2023-07-19 00:00:00,227,227,227,226,35,18.23
137,2023-07-20 00:00:00,226,225,227,225,34,17.71
138,2023-07-21 00:00:00,226,225,226,225,34,17.71
139,2023-07-24 00:00:00,226,226,226,225,34,17.71
140,2023-07-25 00:00:00,226,226,227,226,34,17.71
141,2023-07-26 00:00:00,226,227,227,226,34,17.71
142,2023-07-27 00:00:00,228,225,228,224,36,18.75
143,2023-07-28 00:00:00,227,227,228,226,35,18.23
144,2023-07-31 00:00:00,228,228,228,227,36,18.75
145,2023-08-01 00:00:00,227,227,228,227,35,18.23
146,2023-08-02 00:00:00,225,224,226,224,33,17.19
147,2023-08-03 00:00:00,223,223,224,222,31,16.15
148,2023-08-04 00:00:00,224,222,225,222,32,16.67
149,2023-08-07 00:00:00,223,224,224,223,31,16.15
150,2023-08-08 00:00:00,223,223,223,221,31,16.15
151,2023-08-09 00:00:00,223,221,223,221,31,16.15
152,2023-08-10 00:00:00,223,222,224,221,31,16.15
153,2023-08-11 00:00:00,221,221,222,220,29,15.10
154,2023-08-14 00:00:00,221,222,222,221,29,15.10
155,2023-08-15 00:00:00,222,220,222,220,30,15.63
156,2023-08-16 00:00:00,220,218,220,218,28,14.58
157,2023-08-17 00:00:00,219,216,219,216,27,14.06
158,2023-08-18 00:00:00,215,217,217,215,23,11.98
159,2023-08-21 00:00:00,217,218,218,216,25,13.02
160,2023-08-22 00:00:00,219,217,219,217,27,14.06
161,2023-08-23 00:00:00,218,220,220,218,26,13.54
162,2023-08-24 00:00:00,220,217,221,217,28,14.58
163,2023-08-25 00:00:00,217,218,219,216,25,13.02
164,2023-08-28 00:00:00,219,219,220,219,27,14.06
165,2023-08-29 00:00:00,219,223,223,219,27,14.06
166,2023-08-30 00:00:00,223,224,224,223,31,16.15
167,2023-08-31 00:00:00,224,223,225,223,32,16.67
168,2023-09-01 00:00:00,225,224,225,223,33,17.19
169,2023-09-05 00:00:00,224,223,224,223,32,16.67
170,2023-09-06 00:00:00,222,221,223,220,30,15.63
171,2023-09-07 00:00:00,220,221,221,220,28,14.58
172,2023-09-08 00:00:00,221,221,222,220,29,15.10
173,2023-09-11 00:00:00,222,222,223,221,30,15.63
174,2023-09-12 00:00:00,222,221,222,221,30,15.63
175,2023-09-13 00:00:00,221,221,222,221,29,15.10
176,2023-09-14 00:00:00,222,223,223,222,30,15.63
177,2023-09-15 00:00:00,222,221,222,220,30,15.63
178,2023-09-18 00:00:00,220,221,221,220,28,14.58
179,2023-09-19 00:00:00,220,220,220,219,28,14.58
180,2023-09-20 00:00:00,221,218,221,218,29,15.10
181,2023-09-21 00:00:00,216,214,216,213,24,12.50
182,2023-09-22 00:00:00,214,213,215,213,22,11.46
183,2023-09-25 00:00:00,213,214,214,212,21,10.94
184,2023-09-26 00:00:00,213,211,213,211,21,10.94
185,2023-09-27 00:00:00,212,211,212,209,20,10.42
186,2023-09-28 00:00:00,211,213,213,211,19,9.90
