vti_id,dates_date,open_price,close_price,highest_price,lowest_price,diff,percen_inc
1,2023-01-03 00:00:00,108,108,108,107,0,.00
2,2023-01-04 00:00:00,108,108,109,108,0,.00
3,2023-01-05 00:00:00,108,108,108,107,0,.00
4,2023-01-06 00:00:00,109,110,111,109,1,.93
5,2023-01-09 00:00:00,111,109,111,109,3,2.78
6,2023-01-10 00:00:00,109,110,110,109,1,.93
7,2023-01-11 00:00:00,110,110,110,109,2,1.85
8,2023-01-12 00:00:00,111,111,111,110,3,2.78
9,2023-01-13 00:00:00,110,111,111,110,2,1.85
10,2023-01-17 00:00:00,111,110,111,110,3,2.78
11,2023-01-18 00:00:00,110,108,110,108,2,1.85
12,2023-01-19 00:00:00,108,107,108,107,0,.00
13,2023-01-20 00:00:00,107,108,109,107,-1,-.93
14,2023-01-23 00:00:00,109,109,110,108,1,.93
15,2023-01-24 00:00:00,109,109,109,108,1,.93
16,2023-01-25 00:00:00,109,109,109,108,1,.93
17,2023-01-26 00:00:00,110,110,110,109,2,1.85
18,2023-01-27 00:00:00,110,110,110,109,2,1.85
19,2023-01-30 00:00:00,109,109,110,109,1,.93
20,2023-01-31 00:00:00,109,110,110,109,1,.93
21,2023-02-01 00:00:00,110,110,111,109,2,1.85
22,2023-02-02 00:00:00,110,110,111,109,2,1.85
23,2023-02-03 00:00:00,110,110,110,109,2,1.85
24,2023-02-06 00:00:00,109,109,110,109,1,.93
25,2023-02-07 00:00:00,109,110,110,109,1,.93
26,2023-02-08 00:00:00,110,109,110,109,2,1.85
27,2023-02-09 00:00:00,110,108,110,108,2,1.85
28,2023-02-10 00:00:00,108,110,110,108,0,.00
29,2023-02-13 00:00:00,110,111,111,110,2,1.85
30,2023-02-14 00:00:00,110,110,111,109,2,1.85
31,2023-02-15 00:00:00,109,110,110,109,1,.93
32,2023-02-16 00:00:00,109,109,110,109,1,.93
33,2023-02-17 00:00:00,109,109,109,108,1,.93
34,2023-02-21 00:00:00,108,108,109,107,0,.00
35,2023-02-22 00:00:00,108,107,108,107,0,.00
36,2023-02-23 00:00:00,108,107,108,107,0,.00
